Symbol,Series,Security Name,Band,Remarks
MURUDCERA,BE,Murudeshwar Ceramics Limited,5,-
NAGAFERT,EQ,Nagarjuna Fertilizers and Chemicals Limited,5,-
NAGREEKCAP,EQ,Nagreeka Capital & Infrastructure Limited,5,-
NAKODA,BE,Nakoda Limited,5,-
NATNLSTEEL,BE,National Steel And Agro Industries Limited,5,-
NBIFIN,BE,N. B. I. Industrial Finance Company Limited,5,-
NET4,BE,Net 4 India Limited,5,GSM - Stage I
NEXTMEDIA,BE,Next Mediaworks Limited,5,-
NICCO,BE,Nicco Corporation Limited,5,-
NIRAJISPAT,BE,Niraj Ispat Industries Limited,5,-
NOESISIND,BE,Noesis Industries Limited,5,GSM - Stage II
NORBTEAEXP,EQ,Norben Tea & Exports Limited,5,-
OISL,BE,OCL Iron and Steel Limited,5,-
ONELIFECAP,BE,Onelife Capital Advisors Limited,5,-
ONWARDTEC,BE,Onward Technologies Limited,5,-
ORBITCORP,BE,Orbit Corporation Limited,5,-
ORIENTALTL,BE,Oriental Trimex Limited,5,-
ORTINLABSS,BE,Ortin Laboratories Limited,5,-
PAEL,BE,PAE Limited,5,GSM - Stage I
PALREDTEC,BE,Palred Technologies Limited,5,-
PARACABLES,BE,Paramount Communications Limited,5,-
PDUMJEIND,EQ,Pudumjee Industries Limited,5,-
PEARLPOLY,BE,Pearl Polymers Limited,5,-
PETRONENGG,BE,Petron Engineering Construction Limited,5,-
PILANIINVS,BE,Pilani Investment and Industries Corporation Limited,5,-
PILITA,BE,PIL ITALICA LIFESTYLE LIMITED,5,GSM - Stage I
PIRPHYTO,BE,Piramal Phytocare Limited,5,GSM - Stage I
PNC,BE,Pritish Nandy Communications Limited,5,-
PRADIP,BE,Pradip Overseas Limited,5,-
PRAENG,EQ,Prajay Engineers Syndicate Limited,5,-
PRAKASHCON,EQ,Prakash Constrowell Limited,5,-
PRECOT,BE,Precot Meridian Limited,5,-
PREMIERPOL,EQ,Premier Polyfilm Limited,5,-
PRIMESECU,EQ,Prime Securities Limited,5,-
PROZONINTU,EQ,Prozone Intu Properties Limited,5,-
PVP,BE,PVP Ventures Limited,5,-
QUINTEGRA,EQ,Quintegra Solutions Limited,5,-
RADAAN,EQ,Radaan Mediaworks India Limited,5,-
RAINBOWPAP,EQ,Rainbow Papers Limited,5,-
RAJOIL,BE,Raj Oil Mills Limited,5,-
RAJRAYON,EQ,Raj Rayon Industries Limited,5,-
RAJVIR,EQ,Rajvir Industries Limited,5,-
