25/05/2017
SCRIP CODE	SCRIP NAME	CAPITAL(No. of shares in lacs)
526554	Salguti Industries Ltd.	75.36700
526558	James Hotels ltd.	80.00500
526562	Pearl Engineering Polymers Ltd	304.12560
526568	Longview Tea Company ltd.	29.96500
526570	Midwest Gold Ltd	32.70000
526574	Enterprise International Limit	29.84600
526576	TECHINDIA NIRMAN LIMITED	183.26000
526582	TPL Plastech Limited	78.00300
526586	Wim Plast Ltd.	120.03360
526588	Photoquip India Ltd.	48.00800
526594	B. Nanji Enteprises Ltd.	55.14520
526596	Liberty Shoes Ltd.	170.40000
526598	Gujarat Narmada Flyash Co. Ltd	127.34600
526604	Lippi Systems Ltd.	70.00000
526608	Electrotherm (India) Ltd	127.42814
526610	In House Productions Limited	47.53200
526612	Blue Dart Express Ltd.	237.27934
526614	Expo Gas Containers Ltd.	122.86400
526616	National Plastic Industries Lt	91.29600
526622	MFL India Ltd	3602.92000
526624	Elbee Services Ltd.	130.82938
526628	Ajwa Fun World & Resorts Ltd	63.90000
526630	Geologging Industries Ltd.	50.25130
526638	Texel Industries Ltd.	53.45842
526640	Royale Manor Hotels & Industri	161.32200
526642	Mirza International  Limited	1203.06000
526650	Tourism Finance Corpn. Of Indi	807.16748
526652	Cals Refineries Ltd	82939.63100
526654	Thakker's Developers Ltd.	90.00000
526662	Rajdarshan Industries Ltd.	31.08300
526666	Bhartiya International Ltd.	121.40945
526668	Kamat Hotels (India) ltd.	235.84058
526671	Matra Kaushal Enterprise Limit	2017.17850
526675	Tirth Plastic Ltd.	44.50680
526677	DSJ Communications Ltd.	790.81500
526679	Galore Prints Industries Ltd.	30.69343
526683	Hotel Rugby Ltd.	143.22800
526687	Polo Hotels Ltd.	134.85364
526689	Fenoplast ltd.	46.00000
526691	Pretto Leather Industries Ltd.	78.00000
526703	Ecoplast Ltd.	30.00000
526705	Elegant Marbles & Grani Indust	45.00000
526707	Alchemist Limited	135.59800
526709	BITS Ltd	1118.75000
526711	Adarsh Plant Project Ltd.	99.11500
526717	Gopala Polyplast Ltd.	88.66392
526721	Nicco Parks And Resorts Ltd.	468.00000
526723	NTC INDUSTRIES LIMITED	107.50000
526725	Sandesh Ltd.	75.69421
526727	Garnet Construction Ltd.	139.02200
526729	Goldiam International Ltd.	249.45996
526731	Bright Brothers Ltd.	56.80235
526735	Excel Castronics Limited	407.13500
526737	Corporate Courier and Cargo Lt	60.00000
526739	Narmada Gelatines Ltd.	60.49587
526741	Credence Sound & Vision Ltd.	223.50500
526747	P.G.Foils Ltd.	81.10000
526751	Gratex Industries Ltd.	30.34800
526753	Kriptol Industries Limited	113.70000
526755	Velan Hotels Ltd.	319.64119
526761	Howard Hotels Limited	91.13200
526767	Southern Fuel Ltd.	34.55000
526773	Pressure Sensitive Systems (In	148.36200
526775	Valiant Communications Ltd.	72.23460
526779	Hinafil India Ltd.	560.55000
526783	Dr.Agarwals Eye Hospital Ltd.	47.00000
526785	Crest Animation Studios Ltd.	442.12136
526795	Mahasagar Travels Ltd.	78.63500
526797	Greenply Industries Ltd	1226.27395
526799	Union Quality Plastics Ltd.	48.35000
526801	PSL Limited	1249.34484
526805	Ami Computers (i) Ltd.	100.20000
526807	Seamec Ltd	254.25000
526811	Saatal Kattha & Chemicals Ltd.	38.90000
526813	Raghunath International Ltd.	50.00000
526817	Cheviot Co.Ltd.	45.11250
526821	Dai-Ichi Karkaria Ltd.	74.51229
526823	Rajeswari Infrastructure Limit	47.30900
526827	Spice Islands Apparels ltd.	43.00000
526829	Confidence Petroleum India Lim	2588.35000
526831	Naina Semiconductor Ltd.	80.70000
526833	Ananthi Constructions Ltd.	42.80000
526835	Silktex Ltd.	76.00000
526839	Shelter Infra Projects Limited	35.70161
526841	Shakti Press Ltd.	35.20200
526843	Atlanta Devcon Limited	140.64049
526847	Ashirwad Steels & Industries  	125.00000
526849	Banaras Beads Ltd.	66.36222
526851	Arex Industries Ltd.	39.58700
526853	Bilcare Ltd.	235.45231
526857	Majestic Industries Ltd.	115.50000
526859	ISF LIMITED	950.00000
526861	Rishi Laser  Ltd.	91.92600
526865	Jainco Projects (India) Ltd.	100.00000
526869	Kumbhat Financial Services Ltd	47.50000
526871	Intec Capital Limited	183.66250
526873	Rajasthan Gases Ltd.	53.73800
526877	Siddheswari Garments Ltd.	42.10000
526879	UT Ltd.	91.53486
526881	63 Moons Technologies Limited	460.78537
526883	Shikhar Consultants Ltd.	45.35500
526885	Sarla Performance Fibers Ltd	835.03000
526887	Indo Credit Capital Ltd.	72.30800
526891	Market Creators Ltd.	50.00000
526899	Himalya International Ltd.	578.72884
526901	Sonal Adhesives Ltd.	60.61000
526905	Padmanabh Industries Limited	45.77500
526917	CHD Developers Ltd	1135.92286
526921	Twentyfirst Century Management	105.00000
526923	Kumaka Industries Limited	138.85000
526925	Bobshell Electrodes Ltd.	60.10000
526927	Dion Global Solutions Limited	322.27406
526931	Hariyana Ship Breakers Ltd.	61.66667
526935	M.B.Parikh Finstocks Ltd.	30.00000
526941	Vaishno Cement Co. Ltd.	89.50000
526945	Tyroon Tea Co. Ltd.	34.02100
526947	La Opala RG Ltd.	555.00000
526951	Stylam Industries Limited	81.66200
526953	Venus Remedies Ltd.	123.41988
526955	ABL Bio-Technologies Ltd.	82.00000
526957	UV Boards Limited	152.42850
526959	Woodsvilla Limited	30.07000
526961	Trans Financial Resources Ltd	50.19100
526965	Gujarat Craft Industries Ltd.	48.88300
526967	Heera Ispat Ltd.	58.82800
526971	Dhoot Industrial Finance Ltd.	54.20000
526977	Crimson Metal Engineering Comp	44.28207
526981	Shri Bajrang Alloys ltd.	90.00000
526983	Ashoka Refineries Ltd.	34.01900
526987	Urja Global Limited	5072.06000
526989	Oriental Remedies & Herbals Lt	31.20000
527001	Ashapura Minechem Ltd	869.86098
527005	Shree Pacetronix Ltd	34.00700
527007	Atcom Technologies Ltd.	153.40000
530001	Gujarat Alkalis & Chemicals Lt	734.36928
530005	India Cements Ltd.	3071.78657
530007	JK Tyre & Industries Ltd.	2268.13480
530011	Mangalore Chemicals & Fertilis	1185.15150
530017	Standard Industries Ltd.	643.28941
530019	JUBILANT LIFE SCIENCES LIMITED	1592.81139
530023	Fortune Financial Services (In	510.23767
530025	Samyak International Limited	62.47200
530027	Aadi Industries Ltd	100.00000
530033	Moonbeam Industries Ltd.	31.30000
530035	Santosh Fine-Fab Ltd.	35.24600
530037	Sree Jayalakshmi Autospin Ltd.	44.78200
530039	Lords Chemicals Ltd.	125.30000
530043	Acknit Industries Ltd	25.20000
530045	Titan Securities Ltd.	250.16200
530047	Rai Saheb Rekhchand Mohota Spg	145.89445
530049	J.J.Exporters Ltd.	92.62250
530053	Real News & Views Limited	200.00000
530055	Harmony Capital Services Ltd.	30.00900
530057	Vivanza Biosciences Limited	40.00000
530061	Rockland Thermionics Ltd.	30.52200
530063	Yashraj Containeurs Ltd.	170.00000
530065	Lords Ishwar Hotels Limited	74.70000
530067	CSL Finance Limited	46.82207
530069	Proto Developers & Technologie	3953.31950
530071	Parsoli Corporation Ltd.	269.24900
530073	Sanghvi Movers Ltd.	432.88000
530075	Selan Exploration Technology L	164.00000
530077	Freshtrop Fruits Ltd.	121.45000
530079	Faze Three Ltd.	236.19000
530091	Zyden Gentec Ltd.	555.62000
530093	ACE EDUTREND LIMITED	91.60900
530095	Bhagwandas Metals Ltd.	36.50000
530109	Vantage Corporate Services Ltd	55.12500
530111	Raj Packaging Industries Ltd.	45.69750
530117	Fairchem Speciality Limited	376.09757
530119	Natraj Proteins Ltd.	37.47000
530125	Samrat Pharmachem Ltd.	30.89700
530127	NPR Finance Ltd.	59.89600
530129	Nile Ltd.	30.01900
530131	Udaipur Cement Works Limited	2952.05280
530133	Amco India Ltd.	41.10000
530135	Optiemus Infracom Limited	858.14191
530139	Kreon Finnancial Services Limi	100.61000
530141	Gyan Developers & Builders Ltd	30.00000
530145	Kisan Mouldings Ltd.	288.63065
530149	KSL AND INDUSTRIES LTD	1006.68325
530151	Vijay Textiles Ltd.	131.25000
530153	Jolly Rides Ltd.	39.30000
530157	Riverdale Foods Ltd.	48.10000
530161	Garodia Chemicals Ltd.	72.00200
530163	Kerala Ayurveda Limited	105.55670
530165	Kanchan International Ltd.	32.10000
530167	Moongipa Capital Finance Ltd.	30.54800
530169	Mohit Paper Mills Ltd.	140.00000
530171	Daulat Securities Ltd.	50.00000
530173	Oscar Global Ltd	33.00000
530175	Odyssey Technologies Ltd.	88.64875
530177	SPS International Ltd	32.25900
530179	RSC International Limited	57.49700
530185	Surat Textile Mills Ltd	2220.24870
530187	Atharv Enterprises Limited	1700.00000
530191	Chromatic India Ltd	710.46100
530193	International Diamond Services	45.00000
530195	Gazi Financial Services & Inve	56.00000
530197	Bagadia Colourchem Ltd.	36.90000
530199	Themis Medicare Ltd.	90.39433
530201	Kallam Spinning Mills Ltd.	342.55500
530203	Sanghvi Asbestos Cements Ltd.	30.54600
530205	Balaji Galvanising Industries 	49.54500
530207	Brawn Biotech Limited	30.00300
530213	Fortune International Ltd.	70.40000
530215	Kings Infra Ventures Limited	235.12250
530217	Swojas Energy Foods Ltd.	309.60000
530219	Nutricircle Limited	2.71780
530221	Sarita Software & Industrie Lt	247.49000
530227	Suraj Holdings Ltd.	31.30000
530229	Shakti Rods And Wires Ltd	53.50000
530231	Subhash Silk Mills Ltd.	42.40500
530233	Auro Laboratories Ltd.	62.32500
530235	KJMC Financial Services Ltd.	47.85740
530237	Gandhinagar Hotels Ltd.	67.75000
530239	Suven Life Sciences Ltd.	1272.82478
530243	Mangalya Soft-Tech Ltd.	100.00000
530245	Aryaman Financial Services Ltd	116.82000
530249	Bridge Securities Ltd.	33.61300
530251	Risa International Limited	1595.00250
530253	Rajasthan Tube Mfg. Co	45.07800
530255	Kay Power And Paper Ltd	106.40000
530259	Inter State Oil Carrier Ltd	49.92400
530261	Arcuttipore Tea Co. Ltd.	50.16380
530263	Global Capital Markets Ltd.	248.93500
530265	Sainik Finance and Industries 	108.80000
530267	Saboo Brothers Ltd.	60.96200
530271	Rich Universe Network Ltd	72.52800
530277	Karan Finance Ltd	30.00000
530279	Kunal Overseas Ltd.	150.01500
530281	Quantum Digital Vision (India)	30.35000
530289	S.P.Capital Financing Ltd.	60.12200
530291	Raj Agro Mills Ltd.	31.03600
530293	Wilwayfort India Ltd.	77.30000
530295	Shri Rajivlochan Oil Extractio	40.93000
530299	Kothari Products Ltd.	298.43865
530305	Piccadily Agro Industries ltd.	943.39280
530307	Chaman Lal Setia Exports Ltd.	517.33550
530309	Chandra Prabhu International L	36.98000
530313	Laurel Organics Ltd	73.85000
530315	Hindustan Tin Works Ltd.	103.99683
530317	Godavari Drugs Ltd.	75.30500
530321	Unimin India Ltd.	201.75172
530323	ERA Infra Engineering Ltd	3315.99440
530325	Kumar's Cotex Ltd.	233.30000
530327	KM Capital Ltd.	37.08900
530329	Mukunda Industrial Finance Ltd	51.24200
530331	Premco Global Ltd.	33.04800
530333	Emgee Cables & Communications 	54.05500
530335	JCL ltd.	46.92300
530337	Exelon Infrastructure Ltd	133.37600
530339	Labh Construction Ltd.	66.11320
530341	Mukesh Babu Financial Services	69.70900
530343	Genus Power Infrastructures Lt	2571.83714
530345	Creative World Telefilms Ltd.	66.67600
530347	Magnum Limited.	63.50000
530355	Asian Oilfield Services Ltd.	260.74444
530357	KBS INDIA LIMITED	85.21188
530361	Sea Gold Aqua Farms Ltd.	54.48240
530363	Ugar Sugar Works Ltd.	1125.00000
530365	Orient Bell Limited	141.89601
530367	NRB Bearings Ltd.	969.22600
530369	Vamshi Rubber Ltd.	42.06800
530375	Nakshatra Infrastructure Limit	50.00000
530377	Nila Infrastructures Ltd	3933.92700
530381	Petron Engineering Constructio	75.38400
530387	European Software Alliances Lt	250.00000
530389	Geefcee Finance Ltd.	100.00000
530391	DOT COM Global Ltd	53.47200
530393	DB (INTERNATIONAL)Stock Broker	350.00000
530401	Vinyoflex Ltd.	43.19000
530403	Vallabh Poly-Plast Internation	41.95900
530405	Jindal Capital Ltd.	72.08100
530407	EPIC Energy Ltd.	72.11500
530409	Eupharma Laboratories Ltd.	100.00000
530411	Magan Industries Ltd.	255.00000
530413	Asian Vegpro Industries Ltd.	112.30000
530417	Chiplun Fine Chemicals Ltd.	75.37500
530419	Sumedha Fiscal Services Ltd.	79.84424
530421	Kuwer Industries Ltd.	90.76072
530423	CRB Share Custodian Services L	60.00000
530425	Sunday Exports Ltd.	50.00000
530427	Choksi Imaging Ltd.	39.00000
530429	Ashish Polyplast Ltd.	33.97500
530431	Ador Fontech Ltd	175.00000
530433	Shiva Global Agro Industries L	99.93000
530435	Noesis Industries Limited	263.29091
530439	Siddha Ventures Limited	99.98000
530441	Mahanivesh (India) Ltd.	100.00000
530443	Kiran Syntex Ltd.	42.49900
530445	Sumeru Industries Ltd.	720.00000
530447	Besco Limited	43.20000
530449	Rungta Irrigation Ltd.	88.56100
530453	Thapar Concast Ltd.	196.20000
530457	Cinerad Communications Ltd.	52.00000
530459	Valson Industries Ltd.	76.60800
530461	Saboo Sodium Chloro Ltd.	191.82500
530467	Gujarat Cypromet Ltd.	120.00100
530469	GSL Securities Ltd.	32.50000
530471	Balaji Hotels And Enterprises 	325.00000
530475	Tinna Rubber and Infrastructur	85.64750
530477	Vikram Thermo (India) Ltd.	55.82570
530479	Atlanta Infrastructure and Fin	1155.00000
530487	Vibros Organics ltd.	54.38800
530495	Chhattisgarh Industries Limite	74.90000
530497	Marvel Capital & Finance (Indi	50.00000
530499	A.K.Capital Services Ltd.	66.00000
530505	Upper Ganges Sugar Industries 	115.57239
530509	Vantech Industry Ltd.	51.80300
530513	Accurate Transformers Ltd.	30.37100
530517	Relaxo Footwears Ltd.	1201.30250
530519	Interface Financial Services L	2471.29000
530521	Virat Industries Ltd.	49.23340
530525	Sheetal Diamonds Ltd.	50.00000
530527	Trans Agrotech Ltd.	33.50000
530533	Terai Tea Co. Ltd.	68.79300
530537	Manraj Housing Finance Ltd.	50.00000
530543	Marg Ltd	381.18926
530545	Cosco (India) ltd.	41.60000
530547	Ken Financial Services Ltd.	30.00000
530549	Shilpa Medicare Ltd.	801.26904
530551	Monalisa Infotech Ltd.	586.00000
530553	Global Industries Ltd.	58.30000
530555	Paramount Communications Ltd.	1252.33465
530557	NCL Research And Financial Ser	1454.25000
530559	Piyush Steels Ltd.	105.90000
530561	Radford Global Limited	703.11500
530565	Archana Software Ltd.	60.66700
530571	Explicit Finance Limited	92.67600
530573	Trinity Bio-tech Ltd.	33.30000
530577	Ladderup Finance Ltd.	128.52600
530579	Golden Goenka Fincorp Limited	1902.38329
530581	Ekam Leasing & Finance Co. Ltd	30.00000
530583	Vogue Textiles Ltd.	59.00000
530585	Swastika Investmart Ltd	29.59700
530589	Prima Plastics Ltd.	110.00470
530593	Sirhind Steel Ltd.	40.11700
530595	TeleCanor Global Limited	113.90914
530601	Jagsonpal Finance & Leasing Lt	55.00400
530603	Kandhari Rubbers Ltd.	36.50000
530605	GSL Nova Petrochemicals Limite	270.00000
530609	Carnation Industries Ltd.	34.57160
530611	Sturdy Industries Ltd.	643.08960
530615	Garg Furnace Ltd.	40.08700
530617	Sampre Nutritions Ltd.	48.20000
530621	Akar Tools Ltd.	53.94005
530627	Vipul Organics Limited	62.64500
530631	Rose Zinc Ltd.	80.82120
530633	Hitkari Industries Ltd.	32.05470
530635	Texplast Industries Ltd.	50.74700
530643	Eco Recycling Limited	175.42500
530645	Malvika Steel Ltd.	2315.30000
530651	Softech Infinium Solutions Lim	40.00000
530655	Goodluck India Limited	220.06250
530657	Global Securities Limited	149.53600
530663	Goyal Associates Ltd.	469.37500
530665	Zenith Health Care Ltd.	537.39000
530667	Sri Nandaa Spinners Limited	150.00000
530669	Prem Somani Financial Services	33.03400
530675	York Exports Ltd.	33.62800
530677	Supreme Holdings & Hospitality	354.76853
530683	Pithampur Poly Products Ltd.	48.74000
530689	Lykis Limited	193.75155
530693	Aditya Info-soft Limited.	38.80000
530695	Prime Property Development Cor	169.71080
530697	Zenlabs Ethica Limited	62.00014
530699	Raj Rayon Industries Limited	3464.54000
530701	KDJ Holidayscapes and Resorts 	546.56000
530703	Info-Drive Software Ltd.	6552.08200
530705	Flora Textiles Ltd.	60.00000
530707	Aftek  Ltd.	1101.81341
530709	Gowra Leasing & Finance Ltd.	30.00300
530711	Jagan Lamps Ltd.	68.95070
530713	AJEL Limited	107.50000
530715	Alps Industries Ltd.	391.14100
530721	ANG Industries Limited	160.90000
530723	Asit C Mehta Financial Service	49.52560
530725	Nubal (India) Ltd	30.90000
530727	Terryfab (India) Ltd.	110.00000
530729	Scintilla Software Technology 	150.03616
530733	Nova Publications India Limite	31.52100
530735	Super Bakers (India) Ltd.	30.21600
530741	Ovobel Foods Ltd.	105.00800
530743	GEI INDUSTRIAL SYSTEMS LIMITED	196.79248
530745	LN Industries India Limited	1016.85900
530747	Indo Asian Finance Limited	90.00000
530749	Ahura Welding Electrode Mfrs. 	39.10000
530753	Suryodaya Plastics Ltd.	39.00000
530755	Coral Newsprints Ltd.	50.52700
530757	Shentracon Chemicals Ltd.	32.01000
530759	Sterling Tools Ltd.	342.23000
530763	Sunbright Stock Broking Limite	120.20000
530765	Devki Leasing & Finance Ltd.	35.09600
530769	Venus Universal Ltd	629.00000
530771	KLG Capital Services Ltd.	32.02400
530773	IVRCL LTD	7828.97692
530777	Infra Industries Ltd.	59.90000
530779	Dynamic Protfolio Management &	116.91800
530781	International Housing Finance 	179.64500
530783	Trans Asia Corporation Ltd	52.10000
530785	Pitambar Coated Papers Ltd.	80.50000
530787	Inland Printers Ltd.	72.18800
530789	Ceejay Finance Limited	34.50000
530793	Penta Pharmadyes Ltd.	74.10000
530795	Suncity Synthetics Ltd.	49.45800
530797	Shree Ganesh Elastoplast Ltd	55.02000
530799	Anna Infrastructures Ltd	38.00000
530801	Diamond Infosystems Ltd	4020.00000
530803	Bhageria Industries Limited	159.25500
530805	Onesource Ideas Venture Limite	2.25000
530807	REGALIAA REALTY LTD.	36.00000
530809	BNR Udyog Ltd.	30.00000
530811	Netvista Information Tech. Ltd	135.95300
530813	KRBL Ltd.	2353.89892
530815	Refnol Resins & Chemicals Ltd.	30.89900
530821	SSPDL Limited	129.29250
530825	Daikaffil Chemicals India Ltd.	60.00000
530829	Cil Securities Ltd.	50.00000
530833	Abee Info-Consumables Ltd.	100.00000
530835	Eltrol Ltd.	425.10000
530839	Clio Infotech Ltd.	110.10950
530841	Shri Bholanath Carpets Limited	48.00000
530843	Cupid Limited	111.15000
530845	Sunshield Chemicals Ltd.	73.53060
530847	Kanoria Plaschem Ltd.	48.50000
530853	Hipolin Ltd.	31.31300
530855	GDL Leasing & Finance ltd.	30.10100
530859	Cosboard Industries Ltd.	42.93800
530863	FE (India) Ltd	160.80441
530867	SFL International Limited	33.64500
530871	Chembond Chemicals Ltd.	134.48288
530877	Model Financial Corporation Lt	40.00000
530879	Bhilwara Tex -Fin Ltd.	35.02700
530881	Century Twentyfirst Portfolio 	20.70900
530883	Super Crop Safe Ltd.	75.48900
530885	Aurum Soft Systems Limited	651.00000
530887	Incap Financial Services Ltd.	38.13900
530889	Alka India Ltd.	2500.00000
530891	RKB Agro Industries Limited	32.49300
530897	N.G.Industries Ltd.	33.50500
530899	Asia Pack Ltd.	26.37420
530901	ACIL Cotton Industries Limited	2216.30000
530905	Sai Industries Ltd.	30.00000
530907	S.I.Capital And Financial Serv	30.00000
530909	ERP Soft Systems Ltd.	39.60000
530913	Shri Bhagvati Bright Bars Ltd.	50.10000
530915	J.R. Foods Limited	95.00000
530917	R.R.Securities Ltd.	30.18100
530919	Remsons Industries Ltd.	57.13357
530921	Integrated Thermoplastics Ltd.	62.87800
530923	RCL Foods Limited	45.47500
530925	Ramsons Projects Ltd.	30.06500
530927	Haryana Financial Corporation 	192.22700
530929	Euro Asia Exports Ltd.	15.68800
530931	Stanpacks (India) Ltd.	60.96000
530943	Sri Adhikari Brothers Televisi	349.44500
530945	Gangotri Iron & Steel Company 	268.23588
530949	Dhar Textile Mills Ltd.	63.08753
530951	RAMINFO LIMITED	62.80640
530953	Sunil Agro Foods ltd.	30.02900
530955	Mindvision Capital Ltd	53.00000
530959	Diana Tea Co.Ltd.	149.91000
530961	Vikas EcoTech Limited	2798.99675
530965	Indian Oil Corporation Ltd.	48559.04964
530967	Kyra Landscapes Limited	549.60000
530971	Nimbus Industries ltd.	76.21400
530973	Alfa Ica (India) Ltd	40.40000
530977	Katwa Udyog Ltd.	51.24200
530979	India Home Loan Limited	142.81755
530985	JPT Securities Ltd.	30.06000
530991	Roopa Industries Ltd.	78.65520
530993	Sarthak Global Ltd.	30.00000
530997	Unique Organics Ltd.	59.53000
530999	Balaji Amines Ltd.	324.01000
531001	Kamar Chemicals & Industries l	40.30000
531003	Swarna Securities Ltd.	30.00000
531011	Emkay Aromatics ltd.	44.90000
531013	Sun Granite Export Limited	106.78600
531015	Venmax Drugs And Pharmaceutica	52.38930
531017	Arihants Securities ltd.	50.00000
531025	Visagar Financial Services Ltd	325.09000
531027	Libord Securities Ltd.	50.00000
531029	Bharat Textiles & Proofing Ind	58.57140
531033	Regal Entertainment & Consulta	30.72100
531035	Tobu Enterprises ltd.	47.31600
531039	M.S.Securities ltd.	42.50000
531041	Competent Automobiles Co. Ltd.	64.09500
531043	Dhanvantri Jeevan Rekha Ltd.	42.08800
531047	Advance PowerInfra Tech Limite	117.50000
531049	Neelkanth Rockminerals ltd.	50.43700
531051	Vintage Securities Ltd.	36.66800
531055	GFL Financials India Limited	150.00000
531061	India E-Commerce Ltd.	30.10500
531065	Oswal Overseas Ltd	64.61050
531067	Contil India Limited	30.94400
531069	Vijay Solvex Ltd.	31.46358
531077	NEPC Paper And Board Ltd.	133.80000
531079	Ravraj Impex Ltd.	32.50000
531080	Shri Krishna Devcon Limited	280.00000
531082	Alankit Limited	1429.58100
531083	Nihar Info Global Ltd.	50.00000
531084	Indo Bonito Multinational Limi	249.40300
531085	Lakhani India Ltd.	134.53000
531088	Tulip Star Hotels Ltd.	46.10000
531091	United Credit ltd.	53.27823
531092	OM Metals Infraprojects Ltd	963.03809
531094	Harbor Network Systems Ltd.	150.00000
531099	Rubra Medicaments Ltd.	54.68300
531102	Surana Corporation Ltd.	218.58734
531105	Scan Organics Ltd.	111.10000
531109	Ishan Dyes & Chemicals Ltd.	112.64700
531111	Gothi Plascon (India) Ltd.	102.00000
531112	Amaze Entertech Limited	3.50000
531114	GDR Media Ltd.	80.00000
531115	Synergy Cosmetics (Exim) Ltd.	113.43300
531118	Pacific Cotspin Ltd.	388.54800
531119	Ceenik Exports (india) Ltd.	33.50000
531120	Patel Engineering Ltd	1569.94691
531126	Virtualsoft Systems Ltd.	102.97600
531127	Anar Industries Limited	100.34699
531129	Inani Marbles & Industries Ltd	162.50000
531130	Modi Hoover International Ltd.	244.20000
531131	Mascon Global Ltd	3721.27045
531134	Le Waterina Resorts & Hotels L	666.28400
531135	Pittsburgh Iron and Steels Lim	42.30000
531137	Gemstone Investments Ltd.	747.50000
531141	Sri Jayalakshmi Spinning Mills	198.50000
531144	El Forge Ltd.	203.24304
531146	Medicamen Biotech Ltd.	110.70000
531147	Alicon Castalloy Limited	122.56222
531148	Enchante Jewellery Ltd.	71.70000
531149	Shree Rang Mark Travels Limite	66.07400
531152	Stiles India Limited	78.90000
531153	Diligent Industries Limited	228.72000
531155	Epsom Properties Limited	74.52800
531156	Alfavision Overseas (India) Lt	31.52600
531157	Organic Coatings Ltd.	76.74600
531158	Catvision Limited	54.53600
531159	JMP Castings Ltd.	98.50000
531160	Saumya Capital Limited	63.28000
531161	ABM Knowledgeware Ltd.	200.02200
531162	Emami Ltd	2269.67619
531163	Kemistar Corporation Limited	6.71392
531164	Laser Diamonds Ltd.	40.50000
531168	Associated Ceramics Ltd.	30.10000
531169	SKP Securities Ltd.	56.15000
531171	Devika Proteins Ltd.	102.80000
531172	Pranavaditya Spg Mills Ltd.	192.41280
531173	Syschem (India) Ltd.	159.10400
531175	BLS Infotech Limited	4376.94813
531176	Mefcom Capital Markets Ltd.	91.40168
531178	Hemang Resources Limited	132.00000
531179	Arman Financial Services Limit	57.20179
531185	Chicago Software Industries Lt	100.00000
531188	Gujarat Bulk Packs ltd	65.80000
531190	Tavernier Resources Limited	59.79000
531191	Filtron Engineers Ltd.	26.16500
531192	Midas Infra Trade Limited	1220.00000
531196	Gagan Polycot India Ltd.	100.00000
531198	Dhanada Corporatin Limited	443.84448
531199	Glance Finance Ltd.	30.05900
531200	Maplle Infraprojects Ltd.	52.60000
531201	Shilchar Technologies Ltd.	38.13400
531203	Brand Realty Services Limited	30.04400
531205	Kansal Fibres Ltd.	56.72900
531206	Kwality Credit & Leasing Ltd.	42.22703
531207	Raymed Labs. Ltd.	42.70000
531209	Nucleus Software Exports Ltd	323.83724
531210	Colinz Laboratories ltd.	45.71000
531211	Wellness Noni Limited	32.00000
531212	Nalin Lease Finance Ltd.	32.62000
531213	Manappuram Finance Limited	8419.49636
531215	RTS Power Corporation Ltd.	81.68500
531216	Comfort Intech Ltd	3199.38080
531217	Western India Shipyard Ltd.	2946.44090
531218	Rishab Financial Services Ltd	50.00000
531219	Shyama Infosys Ltd.	100.64400
531221	Mayur Floorings Ltd.	50.71200
531223	Anjani Synthetics Limited	108.01000
531224	Computech International Ltd.	230.40000
531225	Frontier Informatics Limited	133.10400
531226	Doon Valley Rice Ltd.	54.24600
531227	Deco-Mica Ltd.	42.00000
531228	Rander Corporation Ltd.	123.37000
531233	Rasi Electrodes Ltd.	324.30500
531234	Victory Paper & Boards (India)	135.00000
531235	Citiport Financial Services Lt	31.00000
531237	Dhruva Capital Services Ltd.	32.61700
531240	Shamrock Industrial Co. Ltd.	54.28414
531241	Linc Pen & Plastics Ltd.	147.85960
531246	Prima Industries Ltd.	107.91900
531247	Alpha Hi-Tech Fuel Ltd.	36.75506
531249	Well Pack Papers & Containers 	817.28850
531250	RNB Industries Limited	51.01600
531252	Farry Industries Ltd.	30.13100
531253	India Gelatine & Chemicals Ltd	94.00000
531254	Optimus Finance Limited	55.72300
531255	Paragon Finance Ltd.	42.50000
531256	Praveen Properties Ltd.	54.30000
531257	Pratiksha Chemicals Ltd.	55.70340
531259	Esha Media Research Limited	78.06930
531260	YKM Industries Limited	44.89900
531261	Concurrent (India) Infrastruct	430.59999
531262	Surya Industrial Corporation L	123.31700
531265	Progressive Extractions & Expo	36.04400
531266	V.S.T.Tillers Tractors Ltd.	86.39528
531268	B2B Software Technologies Ltd.	109.85400
531269	KLG Systel ltd.	126.93256
531270	Dazzel Confindive ltd.	1479.82000
531272	Nikki Global Finance Ltd.	34.19700
531273	Radhe Developers (India) ltd.	251.79900
531274	Kinetic Trust Ltd.	33.60000
531277	Realtime Finlease ltd.	50.00000
531278	Elixir Capital Limited	58.03200
531279	Trishakti Electronics & indust	29.70600
531280	Pankaj Polymers Ltd.	55.43900
531281	PG Industry  ltd.	46.24220
531282	Virgo Polymers (India) Ltd.	34.00000
531283	Cindrella Financial Services L	41.60000
531286	MV Cotspin ltd.	47.15500
531287	National Plastic Technologies 	60.78330
531288	Lead Financial Services  Ltd	33.00000
531289	National Fittings Limited	83.20000
531290	Shreeji Dyechem Ltd.	35.14500
531293	Pramada Finvest Ltd.	50.16300
531295	Sunlake Resorts and Hotels Ltd	80.20600
531297	Artefact Projects Ltd	55.25000
531300	Amit International Ltd.	189.47700
531301	High Street Filatex Limited	6.47000
531304	Nutech Global Ltd.	32.11500
531306	DHP India Ltd.	30.00000
531307	S R K Industries Ltd	784.53380
531310	Available Finance Ltd.	102.03700
531312	Sanraa Media Limited	11961.00000
531314	Integra Capital Management Ltd	47.02800
531318	Transcon Research And Infotech	85.50000
