25/05/2017
SCRIP CODE	SCRIP NAME	CAPITAL(No. of shares in lacs)
501179	Oscar Investments Ltd.	172.80620
501209	Maestros Mediline Systems Ltd.	43.74768
501233	Bhagyodaya Infrastructure Deve	1.50000
501242	TCI Finance Limited	128.72493
501261	Kratos Energy & Infrastructure	10.00000
501270	Chanakya Investments Ltd.	2.00000
501295	Industrial Investment Trust Lt	225.47550
501298	Industrial & Prudential Inv. C	17.45340
501301	Tata Investment Corporation Lt	550.95296
501311	Jayabharat Credit Ltd.	50.00000
501314	Gromo Trade & Consultancy Ltd	283.90000
501316	Killick Nixon Ltd	32.50000
501343	Motor & General Finance (M.G.F	193.63595
501351	Rapid Investments Ltd.	9.60000
501355	Oriental Industrial Inv.Corpn.	11.40000
501370	Walchand Peoplefirst Limited	29.03890
501386	Swastik Safe Deposit & Invest.	2.40000
501391	W.H. Brady & Co. Ltd.	25.50000
501413	Akash Agencies Ltd.	0.50000
501421	Solix Technologies Ltd.	62.75000
501423	Shaily Engineering Plastics Lt	83.18430
501425	Bombay Burmah Trading Corpn. L	697.71900
501430	Bombay Cycle & Motor Agency Lt	2.00000
501455	Greaves Cotton Ltd.	2442.06795
501458	Mafatlal Dyes & Chemicals Ltd.	42.00000
501469	Boston Education and Software 	46.68000
501471	Mack Trading Co. Ltd.	3.43000
501473	Malabar Trading Co. Ltd.	200.90000
501477	Muller & Phipps (India) Ltd.	6.25000
501479	New Sagar Trading Co. Ltd.	0.50000
501482	Parekh Distributors Ltd.	1.00000
501622	Amalgamated Electricity Co. Lt	13.88256
501630	Anand Projects Ltd	9.34290
501700	India Nivesh Limited	377.50000
501756	Thana Electric Supply Co. Ltd.	19.94770
501815	Bharat Line Limited	1.00000
501827	Central Provinces Railways Co.	18.56400
501831	Coastal Corporation Limited	25.42200
501833	Chowgule Steamships Ltd.	363.08425
501848	Global Offshore Services Ltd	247.28793
501874	Mackinnon Mackenzie & Co. Ltd.	2.50000
501887	Scindia Steam Navigation Co. L	94.72931
501945	Dhenu Buildcon Infra Limited	183.00000
502015	Associated Stone Ind. (Kotah) 	828.54663
502090	Sagar Cements Ltd	204.00000
502125	Bagalkot Udyog Limited	85.18926
502133	Hemadri Cements Limited	56.70000
502137	Deccan Cements Ltd.	70.03750
502150	Kalyanpur Cement Ltd.	212.49054
502157	Mangalam Cement Ltd.	266.93780
502165	OCL India Ltd	569.00220
502168	NCL Industries Limited	349.37335
502175	Saurashtra Cement Limited	691.91065
502180	Shree Digvijay Cement Co. Ltd.	1413.74278
502216	Bombay Potteries & Tiles Ltd.	1.30000
502219	Borosil Glass Works Ltd.	23.10000
502223	Excel Glasses Ltd.	712.60113
