ScripCode,Scrip ID,Scrip Group,ScripName,Close Price,Daily Upper Value,Daily Lower Value,Weekly Upper Value,Weekly Lower Value,Monthly Upper Value,Monthly Lower Value,Quarterly Upper Value,Quarterly Lower Value,Yearly Upper Value,Yearly Lower Value,Final Upper Value,Final Lower Value,Filler1,Filler2,Filler3,Filler4,Filler5
506180,SRIOMTR,XT,SHREE OM TRADES LTD.,11970,12205,11735,0,0,0,0,20745,8855,23860,6150,12205,11735,,,,,
506186,GLXYENT,XT,GALAXY ENTERTAINMENT CORPORATI,2005,2105,1905,0,0,0,0,3720,770,9760,5,2105,1905,,,,,
506190,ZSARVAMA,XT,SARVAMANGAL MERCANTILE CO.LTD.,5000,5100,4900,0,0,0,0,8200,3500,9700,2500,5100,4900,,,,,
506196,VIKSHEN,P,VIKSIT ENGINEERING LTD.,400,420,380,0,0,0,0,776,160,976,1,420,380,,,,,
506248,AMNPLST,XC,AMINES & PLASTICIZERS LTD.,3500,3675,3325,0,0,0,0,7730,1595,7015,5,3675,3325,,,,,
506260,ANUHPHR,XC,ANUH PHARMA LTD.,18895,22670,15120,0,0,0,0,67230,5,122860,5,22670,15120,,,,,
506261,MODISNME,XC,MODISON METALS LTD.,6580,7895,5265,0,0,0,0,22175,5,24315,5,7895,5265,,,,,
506313,SASHWAT,P,SASHWAT TECHNOCRATS LIMITED,2585,2710,2460,0,0,0,0,5010,1035,2585,5,2585,2460,,,,,
506315,BORAX,XD,BORAX MORARJI LTD.,4745,5690,3800,0,0,0,0,15095,5,19365,5,5690,3800,,,,,
506365,CHEMOPH,XT,CHEMO PHARMA LABORATORIES LTD.,3930,4125,3735,0,0,0,0,4370,905,4440,5,4125,3735,,,,,
506405,DHARAMSI,XC,DHARAMSI MORARJI CHEMICAL CO.L,10150,12180,8120,0,0,0,0,31895,5,42730,5,12180,8120,,,,,
506414,DIL,XC,DIL LTD.,69500,83400,55600,0,0,0,0,256825,5,459135,5,83400,55600,,,,,
506520,JAYCH,XD,JAYSHREE CHEMICALS LTD.,1260,1385,1135,0,0,0,0,2840,5,5045,5,1385,1135,,,,,
506522,JLMORI,XC,J.L.MORISON (INDIA) LTD.,135910,163090,108730,0,0,0,0,517700,5,549440,5,163090,108730,,,,,
506528,KELENRG,XD,KELTECH ENERGIES LTD.,78090,93705,62475,0,0,0,0,235770,5,268190,5,93705,62475,,,,,
506530,KEMP,XD,KEMP & COMPANY LTD.,24505,25730,23280,0,0,0,0,41940,8650,61230,5,25730,23280,,,,,
506532,NITTAGELA,XC,NITTA GELATIN INDIA LTD.,19010,22810,15210,0,0,0,0,63740,5,116195,5,22810,15210,,,,,
506543,MPAGI,P,M.P.AGRO INDUSTRIES LTD.,540,567,513,0,0,0,0,1047,216,1381,1,567,513,,,,,
506597,AMAL,XD,AMAL LTD.,11265,11825,10705,0,0,0,0,25375,5,22410,5,11825,10705,,,,,
506605,POLYCHEM,XD,POLYCHEM LTD.,41700,43785,39615,0,0,0,0,79420,16380,106870,5,43785,39615,,,,,
506640,GUJCMDS,XT,GUJCHEM DISTILLERS INDIA LTD.,35280,37040,33520,0,0,0,0,68440,14115,35280,5,35280,33520,,,,,
506642,SADHNANIQ,XD,SADHANA NITROCHEM LTD.,5470,6560,4380,0,0,0,0,14040,5,12455,5,6560,4380,,,,,
506685,ULTRAMAR,XC,ULTRAMARINE & PIGMENTS LTD.,17290,20745,13835,0,0,0,0,61585,5,90545,5,20745,13835,,,,,
506687,TRANSPEK,XC,TRANSPEK INDUSTRY LTD.,79830,95795,63865,0,0,0,0,197175,5,243165,5,95795,63865,,,,,
506734,MYSORPETRO,XD,MYSORE PETRO CHEMICALS LTD.,9105,10925,7285,0,0,0,0,31675,5,33180,5,10925,7285,,,,,
506808,TUTIALKA,XT,TUTICORIN ALKALI CHEMICALS & F,1209,1269,1149,0,0,0,0,2283,471,1883,1,1269,1149,,,,,
506852,PACL,XD,PUNJAB ALKALIES & CHEMICALS LT,1700,2040,1360,0,0,0,0,4925,5,8375,5,2040,1360,,,,,
506854,TANFACIND,XD,TANFAC INDUSTRIES LTD.,5280,6335,4225,0,0,0,0,20540,5,25020,5,6335,4225,,,,,
506858,GUJPETR,XT,GUJARAT PETROSYNTHESE LTD.,1995,2090,1900,0,0,0,0,3740,775,4975,5,2090,1900,,,,,
506863,SWADEIN,XT,SWADESHI INDUSTRIES LEASING CO,700,735,665,0,0,0,0,1266,262,861,1,735,665,,,,,
506867,MASCH,XT,MASTER CHEMICALS LTD.,2820,2875,2765,0,0,0,0,4620,1975,5470,1410,2875,2765,,,,,
506879,GUJTHEM,XD,GUJARAT THEMIS BIOSYN LTD.,4460,5350,3570,0,0,0,0,17315,5,26380,5,5350,3570,,,,,
506910,JAYSYN,XD,JAYSYNTH DYESTUFF (INDIA) LTD.,7810,9370,6250,0,0,0,0,26720,5,46320,5,9370,6250,,,,,
